period,TAVG,TMIN,TMAX
200204,56.73333333,46.23333333,67.2
200205,62.075,51.125,73.05
200206,76.15,65.925,86.3
200207,80.5,69.2,91.775
200208,78.875,67.1,90.675
200209,72.9,59.375,86.4
200210,51.25,41.65,60.9
200211,41.25,30.025,52.475
200212,35.15,23.15,47.2
200301,27,15.3,38.85
200302,30.2,19.575,40.75
200303,43.475,31.625,55.325
200304,57.025,45.475,68.525
200305,63.6,52.275,74.975
200306,70.8,60.6,80.975
200307,81.75,69.975,93.525
200308,81.65,69.275,94
200309,64.6,52.5,76.7
200310,58.075,45.7,70.45
200311,43.6,33.76666667,53.4
200312,35.8,26.8,42.775
200401,28.175,18.325,38.025
200402,30,19.63333333,40.4
200403,47.4,36.8,57.725
200404,55.6,43.66666667,67.56666667
200405,67.2,56.8,77.06666667
200406,70.35,60.7,80
200407,75.53333333,66.13333333,84.96666667
200408,71.75,61,82.45
200409,70.05,57.1,82.6
200410,58.2,47.4,68.16666667
200411,47.1,37.5,55.5
200412,35.5,23.3,47.7
200501,29.05,21.6,36.53333333
200502,37.8,27,48.9
200503,43.45,30.95,55.975
200504,55.7,44.03333333,67.4
200505,63.7,51.06666667,76.325
200506,75.75,65.925,85.575
200507,78.35,67.775,88.925
200508,77.5,68.025,87
200509,71.86666667,61.43333333,82.3
200510,57.1,46.1,68.03333333
200511,46.6,34.2,59.25
200512,27.93333333,18.7,37.16666667
200601,40.03333333,28.43333333,51.63333333
200602,34.05,20.9,46.26666667
200603,45.6,33.9,56.95
200604,59.26666667,45.56666667,73
200605,64.53333333,53.6,75.43333333
200606,74.9,62.96666667,86.83333333
200607,80.05,68.15,91.85
200608,79.4,67.73333333,91.13333333
200609,64.33333333,52.4,76.26666667
200610,53.96666667,42.1,65.76666667
200611,44.86666667,32.83333333,56.93333333
200612,37.6,27.6,47.65
200701,28.1,18,38.2
200702,28.7,18.46666667,38.93333333
200703,52.8,40.9,64.66666667
200704,50.93333333,39.76666667,62.1
200705,67.23333333,57.63333333,76.8
200706,73.225,63.95,82.45
200707,77.725,68.25,87.275
200708,83.05,71.575,94.425
200709,70.225,57.35,83.1
200710,58.125,45.925,70.3
200711,42.725,29.425,56.05
200712,28.85,19.625,38.125
200801,26.6,15.575,37.65
200802,27.975,18.1,37.85
200803,40.725,28.825,52.65
200804,50.225,39.5,60.95
200805,62.775,51.225,74.275
200806,73.675,63.725,83.65
200807,77.5,67.1,87.85
200808,74.925,63.9,85.925
200809,66.15,55.325,77
200810,55.025,42.975,67.05
200811,43.475,33.175,53.8
200812,28.025,16.425,39.625
200901,28,15.95,40.1
200902,37.25,23.65,50.775
200903,43.25,31.65,54.875
200904,52.075,41.7,62.475
200905,64.63333333,53.46666667,75.83333333
200906,74.6,65.1,84.15
200907,73.3,63.575,83.05
200908,73.05,63.15,82.95
200909,65.15,55.025,75.275
200910,49.4,40.2,58.55
200911,48.325,38.225,58.475
200912,27.625,18.275,36.95
201001,22.2,15.375,29.1
201002,26.625,18.975,34.275
201003,43.15,33.325,52.975
201004,59.45,47.275,71.625
201005,62.975,53.275,72.75
201006,76.8,66.425,87.15
201007,79.4,70.125,88.65
201008,79.8,67.425,92.125
201009,69.3,58,80.575
201010,58.85,45.125,72.575
201011,44.875,32.7,57.025
201012,30.425,19.55,41.325
201101,23.3,12.95,33.675
201102,28.75,16.975,40.55
201103,43.6,33.45,53.75
201104,55.6,43.3,67.9
201105,62.675,52.025,73.375
201106,75.775,64.975,86.525
201107,84.1,72.725,95.425
201108,79.7,67.825,91.625
201109,65.6,52.55,78.6
201110,57.925,42.775,73.075
201111,45.125,33.375,56.875
201112,36,25.6,46.375
201201,35.475,22.275,48.7
201202,37.7,27,48.375
201203,57.9,46.275,69.475
201204,60.5,48.3,72.7
201205,70.475,59.025,81.925
201206,77.9,65.425,90.375
201207,85.95,72.525,99.375
201208,76.925,63.175,90.625
201209,68.55,55.75,81.325
201210,55.025,42.925,67.1
201211,46.8,33.1,60.55
201212,36.46666667,26.13333333,46.83333333
201301,32.375,21.275,43.475
201302,33.225,22.875,43.6
201303,37.9,28.35,47.425
201304,49.7,38.2,61.2
201305,63.775,53.125,74.375
201306,74.2,64.075,84.3
201307,77.225,66.1,88.3
201308,76.3,66.25,86.35
201309,72.45,60.125,84.75
201310,56.35,44.3,68.425
201311,41.53333333,30.6,52.43333333
201312,28.06666667,17.06666667,39.1
201401,25.475,12.65,38.325
201402,25.66666667,15.7,35.6
201403,39.8,25.23333333,54.33333333
201404,54.025,41.3,66.8
201405,65.76666667,53.83333333,77.7
201406,74.275,65.125,83.425
201407,74.825,63.475,86.225
201408,79.36666667,67.73333333,91.03333333
201409,66.85,55.8,77.95
201410,57.6,45.3,69.9
201411,37,25.2,48.8
201412,34.65,27.6,41.65
201501,30.55,17.55,43.55
201502,25.36666667,13.5,37.23333333
201503,45.375,31.4,59.4
201504,56.875,44.85,68.875
201505,63.675,54.75,72.525
201506,75.3,65.75,84.875
201507,77.86666667,68.16666667,87.56666667
201508,74.35,63.25,85.375
201509,72.725,61.925,83.5
201510,57.35,44.75,70
201511,48.25,36.8,59.675
201512,38.525,27.475,49.575
201601,28.9,18.73333333,39.03333333
201602,38.7,25.775,51.625
201603,49.225,35.25,63.175
201604,56.725,44.025,69.425
201605,62.225,51.85,72.65
201606,78.175,66.775,89.65
201607,79.15,69.2,89.1
201608,77.325,67.525,87.175
201609,71.125,61,81.25
201610,60.9,49.53333333,72.2
201611,50.3,38,62.6
201612,29.33333333,19.33333333,39.33333333
201701,32.6,22.56666667,42.66666667
201702,43.33333333,30.16666667,56.46666667
201703,48.03333333,36.76666667,59.33333333
201704,56.53333333,45.93333333,67.1
201705,63.56666667,52.13333333,74.96666667
201706,73.43333333,62.4,84.46666667
201707,78.925,69.325,88.475
201708,71.375,61.425,81.325
201709,70.425,59.45,81.45
201710,57.6,46.5,68.775
201711,43.975,33.55,54.425
201712,32.8,22.25,43.325
201801,26.075,15.35,36.75
201802,31.475,20.375,42.55
201803,43.8,32.9,54.725
201804,46.3,34.475,58.175
201805,73.075,61.925,84.275
201806,78.175,67.9,88.425
201807,79.3,67.775,90.875
201808,77.825,67.075,88.55
201809,70.1,59.68,80.52
201810,54.54,43.36,65.7
201811,36.1,26.04,46.18
201812,34.825,25.075,44.6
201901,28.86666667,20.06666667,37.66666667
201902,28.4,19.66666667,37.06666667
201903,39.13333333,28.73333333,49.6
201904,56.025,44.4,67.65
201905,62.025,52.725,71.325
201906,73.475,63.05,83.85
201907,78.4,68.4,88.375
